Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Austria ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584768,0.000554865,0.000554865,0.000495661
Australia CPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007701088,0.007525234,0.007357803,0,0,0,0,0,0,0,0,0,0,0
Australia Safeguard Mechanism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002807208,0.002807208,0.002807208
Canada federal OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153672,0.000144327,0.000141224,0.000143403,0.00014117,0.00014117,0.000423509
Alberta TIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003507586,0.003408561,0.003336142,0.003251449,0.003277261,0.00337308,0.003474741,0.003507125,0.003607535,0.003374331,0.003393419,0.003329231,0.003324979,0.003192526,0.003077852,0.003054149,0.002996805,0.002996805,0.002851798
BC OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289636
New Brunswick OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121004,0.000120072,0.000117818,0.000117818,0.000122349
Newfoundland and Labrador PSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15E-05,6.78E-05,6.12E-05,6.07E-05,5.96E-05,5.96E-05,5.64E-05
Nova Scotia OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271459,0.000264557,0.000253062,0.000251113,0.000246398,0.000246398,0.000101958
Ontario CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002564611,0,0,0,0,0,0,0,0
Ontario EPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000755455,0.000741271,0.000741271,0.000741271
Quebec CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049598,0.000480285,0.001270566,0.001232098,0.001243311,0.00124611,0.001255301,0.001177634,0.001172132,0.001163105,0.001141267,0.001141267,0.001100559
Saskatchewan OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000628918,0.000566619,0.000558675,0.000554373,0.000543964,0.000543964,0
Switzerland ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150082,0.000146526,0.000144073,0.00012971,0.000131458,0.000132411,0.00012253,0.000121251,0.000121838,0.000117626,0.000111935,0.000110932,0.000109429,0.000108744,0.00010059,9.84E-05,9.84E-05,0.000106641
China national ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096958554,0.096211853,0.096293493,0.152936724,0.152936724
