Unique ID,Name of the initiative,Instrument Type,Region,Income group,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Tax_CA_Alberta,Alberta carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02629602,23.26663564,22.4938142,,,,,,
ETS_CA_Alberta,Alberta TIER,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,13.01066875,14.60564752,11.86427272,14.88833747,15.57794163,15.01351216,14.75361464,13.60297452,11.89343482,15.32919445,22.53944403,23.26663564,22.4938142,21.10149821,31.8344608,39.96163683,48.03073967,58.94488653,66.21131865
Tax_AR,Argentina carbon tax,Carbon tax,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.914348161,6.187569488,6.342014552,5.321599371,4.995626444,3.218257023,0.811554266,5.327914694
ETS_AU2,Australia Safeguard Mechanism,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.90375,21.81612
ETS_AU1,Australia CPM,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,23.9246,24.584508,22.370145,,,,,,,,,,,
ETS_AT,Austria ETS,ETS,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.34375,48.3705,48.546
Tax_MX_BC,Baja California carbon tax,Carbon tax,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.31702544,,,,
ETS_CN_Beijing,Beijing pilot ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,0,8.516657724,8.21206498,6.296021286,7.396604266,9.449596838,10.4022646,12.2042201,4.323279666,6.527961251,12.95770547,14.51218332,12.1526058
Tax_CA_BC,BC carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,9.737098345,7.909515147,19.85111663,25.96323606,30.02702432,29.50722927,27.20594903,23.78686965,22.99379168,22.53944403,27.14440825,29.99175227,28.13533094,35.8137684,39.96163683,48.03073967,58.94488653,
ETS_CA_BC,BC OBPS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,19.896538,19.98081841,18.47336141,58.94488653,66.21131865
